,CF,SF,lat,lon,geo_size
1413,Power County,Idaho,42.7195165,-112.81821182973931,0.24952731615950022
1414,Poweshiek County,Iowa,41.6851785,-92.53322716646531,0.038796792511500165
1415,Powhatan County,Virginia,37.553163999999995,-77.88693252962716,0.00901165048750004
1416,Prairie County,Montana,46.861009499999994,-105.4653740400162,0.532396208089001
1417,Pratt County,Kansas,37.648634,-98.74007595136186,0.18722840776099955
1418,Preble County,Ohio,39.742447999999996,-84.64810843766534,0.02896127583400016
1419,Prentiss County,Mississippi,34.610192999999995,-88.5242936192767,0.033287544917000124
1420,Presidio County,Texas,29.943858,-104.23789743937539,0.2970436817535017
1421,Presque Isle County,Michigan,45.485113999999996,-83.54856877613665,0.5483865938445012
1422,Preston County,West Virginia,39.458149,-79.69004228028803,0.023154324391500128
1423,Price County,Wisconsin,45.679769,-90.36033392993647,0.0870089793084996
1424,Prince Edward County,Virginia,37.2381825,-78.45887906096536,0.01955048082300007
1425,Prince George County,Virginia,37.156724999999994,-77.24972780300274,0.036215764196499786
1426,Prince George's County,Maryland,38.833389,-76.84243722593584,0.0002697671325000461
1427,Prince William County,Virginia,38.721251,-77.44428057111062,0.0005354372959999567
1428,Prince of Wales-Hyder Census Area,Alaska,55.5110315,-132.99860349174082,0.07851370140949945
1429,Providence County,Rhode Island,41.87096,-71.56637361313474,7.078567249999095e-05
1430,Prowers County,Colorado,37.961867999999996,-102.392580754942,0.2626331191070004
1431,Pueblo County,Colorado,38.128491,-104.55332704816381,0.15553790874350054
1432,Pulaski County,Kentucky,37.111618,-84.59658845734805,0.012246148016500107
1433,Pushmataha County,Oklahoma,34.419074,-95.41296233606982,0.12386069397899979
1434,Putnam County,Ohio,36.141928,-85.45753221700508,0.018423232180499946
1435,Quay County,New Mexico,35.1724455,-103.55027052942037,0.004303409210000089
1436,Quebradillas Municipio,Puerto Rico,18.453143,-66.93463080833997,0.002269418013000089
1437,Queen Anne's County,Maryland,39.0347215,-76.03921463419297,0.00977800494499993
1438,Queens County,New York,40.6510085,-73.79304414138065,8.191841750001981e-05
1439,Quitman County,Georgia,34.291447500000004,-90.28818063533387,0.039632752135999615
1440,Rabun County,Georgia,34.858351,-83.4531161515873,0.009304610189500004
1441,Racine County,Wisconsin,42.727777,-87.68019132221352,0.00047297668249998096
1442,Radford city,Virginia,37.120331500000006,-80.5627746402985,0.0014782885675000848
1443,Rains County,Texas,32.845814000000004,-95.80130838103017,0.029093334412499925
1444,Raleigh County,West Virginia,37.748798,-81.17433787572253,0.0032140890624999807
